ts,row_type,session,participant,task,phase,block_id,ear,ear_base,ear_thr,blink_count,is_closed,long_close,gaze,gaze_thr,gaze_bias,gaze_offlvl,risk,alert,event,info
1763960355.5260086,frame,,,,train,,0.540669116664168,0.5304156419564673,0.4243325135651739,32,False,False,-0.08727373437797326,0.35,-4.558595267414855,4.945629681304734e-67,7.259866596375041e-07,0,,
1763960355.5743399,frame,,,,train,,0.5370284149859856,0.5307462806079432,0.42459702448635456,32,False,False,-0.09157908635284073,0.35,-4.558595267414855,4.4510667131742603e-67,5.081906617462528e-07,0,,
1763960355.606601,frame,,,,train,,0.5330449548221263,0.5309902101539328,0.42479216812314624,32,False,False,-0.09109623348154727,0.35,-4.558595267414855,4.005960041856835e-67,3.5573346322237694e-07,0,,
1763960355.6388521,frame,,,,train,,0.5151635441431831,0.5310173299487774,0.42481386395902193,32,False,False,-0.13580088258537337,0.35,-4.558595267414855,3.605364037671151e-67,2.4901342425566383e-07,0,,
1763960355.6699693,frame,,,,train,,0.5154457240347987,0.5308822249337195,0.4247057799469756,32,False,False,-0.16324400929294924,0.35,-4.558595267414855,3.244827633904036e-67,1.7430939697896466e-07,0,,
1763960355.7014923,frame,,,,train,,0.517918235235576,0.5306499052252941,0.4245199241802353,32,False,False,-0.17723740100085905,0.35,-4.558595267414855,2.9203448705136325e-67,1.2201657788527527e-07,0,,
1763960355.732794,frame,,,,train,,0.5273808241079132,0.5304864511694249,0.42438916093553997,32,False,False,-0.17526235207507757,0.35,-4.558595267414855,2.6283103834622694e-67,8.541160451969269e-08,0,,
1763960355.764594,frame,,,,train,,0.529078274681022,0.5304160423450048,0.4243328338760039,32,False,False,-0.1694076309735868,0.35,-4.558595267414855,2.3654793451160425e-67,5.978812316378487e-08,0,,
1763960355.7981775,frame,,,,train,,0.5381561623148929,0.5308030483434992,0.4246424386747994,32,False,False,-0.16505950110318146,0.35,-4.558595267414855,2.1289314106044383e-67,4.185168621464941e-08,0,,
1763960355.8301165,frame,,,,train,,0.5267935819484311,0.5306996816357903,0.4245597453086323,32,False,False,-0.16036794703210688,0.35,-4.558595267414855,1.9160382695439945e-67,2.9296180350254583e-08,0,,
1763960355.8628125,frame,,,,train,,0.5250840273711799,0.5305649663952854,0.42445197311622834,32,False,False,-0.1544127870195151,0.35,-4.558595267414855,1.7244344425895952e-67,2.0507326245178207e-08,0,,
